pathway0	pathway	GeneID	Gene	Order	Gene_long	Comment	pathway_2	Order2
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K04480	mtaB	A	methanol    5-hydroxybenzimidazolylcobamide Co-methyltransferase	EC:2.1.1.90	AOM & Other (Vulcano et al, 2022)	30
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K14081	mtaC	A	methanol corrinoid protein		AOM & Other (Vulcano et al, 2022)	31
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K14080	mtaA	A	mtaA; [methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]	methanogenesis from methanol	AOM & Other (Vulcano et al, 2022)	32
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K04480	mtaB	A	mtaB; methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]	methanogenesis from methanol	AOM & Other (Vulcano et al, 2022)	33
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K14081	mtaC	A	mtaC; methanol corrinoid protein	methanogenesis from methanol	AOM & Other (Vulcano et al, 2022)	34
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K14082	mtbA	A	mtbA; [methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]	methanogenesis from methylated amines	AOM & Other (Vulcano et al, 2022)	35
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K14083	mttB	A	mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]	methanogenesis from methylated amines	AOM & Other (Vulcano et al, 2022)	36
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K14084	mttC	A	mttC; trimethylamine corrinoid protein	methanogenesis from methylated amines	AOM & Other (Vulcano et al, 2022)	37
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K16178	mtbB	A	mtbB; dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]	methanogenesis from methylated amines	AOM & Other (Vulcano et al, 2022)	38
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K16179	mtbC	A	mtbC; dimethylamine corrinoid protein	methanogenesis from methylated amines	AOM & Other (Vulcano et al, 2022)	39
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K16954	mtsA	A	mtsA; methylthiol:coenzyme M methyltransferase [EC:2.1.1.251]	Methanogenesis from methylated thiols	AOM & Other (Vulcano et al, 2022)	40
AOM & Other (Vulcano et al, 2022)	AOM & Other (Vulcano et al, 2022)	K16955	mtsB	A	mtsB; methylated-thiol--corrinoid protein	Methanogenesis from methylated thiols	AOM & Other (Vulcano et al, 2022)	41
